,lignite,coal,oil,biomass,CCGT,OCGT,H2-Ready,electrolysis,fuel cell,ror,offwind-ac,offwind-dc,onwind,solar
2020,18.665,21.638450000000002,1.2652,7.950406326,21.7298689099183,8.706526559170914,1.0863815051527663,2.7839999995251716,3.4799999994064637,2.8399868500000003,4.046224330818016,7.707466247454833,59.006902413819255,53.90503820207713
2021,17.628055555555555,20.43631388888889,1.1292,7.950406324867678,22.391041334007245,8.86622711569126,2.5442935464130985,4.917774250406254,6.1472178130078134,2.8399868500000003,4.414591363460614,14.793813347701409,65.86035737995908,60.98714272876567
2022,16.59111111111111,19.234177777777774,0.7804,7.950406324780533,23.487735108673796,10.26162290417301,3.5389923381887765,5.5868479689020925,6.983559961127612,2.828686849998991,4.414592639962196,14.793814376188369,74.13701083884048,69.52451968534884
2023,15.554166666666667,18.032041666666665,0.7804,7.950406324628236,24.009185963001023,10.594127531714904,4.394041688130177,6.19653253605094,7.745665670063671,2.828686849998991,4.414594201300895,14.793815517370007,83.24382722879183,79.05758834934214
2024,14.517222222222225,16.829905555555552,0.7804,7.950406324714984,23.454227950932058,12.204290997971626,5.312367663296766,6.751280577014361,8.43910072126795,2.732186850049878,4.414596946468334,14.793816392841595,92.59562966046906,89.44233999408132
2025,13.48027777777778,15.627769444444443,0.7804,7.950406325094649,26.16288809149737,13.741485997321313,6.20897275726627,7.451584896546316,9.31448112068289,2.7321868500948767,4.4145976721232385,14.793816914997503,102.44969388394678,99.69241885092337
2026,12.443333333333335,14.425633333333332,0.7804,7.950406325380501,26.50160377304575,13.741485997321313,7.276051406496046,7.9205309767538905,9.900663720942358,2.7321868501483983,4.414598910165176,14.793817745636,111.22434135830878,105.97764893872628
2027,11.406388888888893,13.22349722222222,0.7804,7.950406325233484,28.483972455367468,14.136026513111657,8.245086510406855,8.294914511023864,10.368643138779825,2.7321868501994278,4.414600125153753,14.793818548677239,117.28962087087561,110.74377160699902
2028,10.369444444444449,12.021361111111108,0.745,7.950406326091851,28.568088296766422,14.56464184905872,9.263995797783735,8.768654516197243,10.96081814524655,2.7321868501994278,4.414603531290469,14.793820939873152,124.35407859692435,114.87842553120517
2029,9.332500000000003,10.819224999999996,0.745,7.950406325913388,28.633723743809874,15.637178454402424,10.469745251618361,9.315164681699382,11.643955852124225,2.732186850198522,4.4146045112508405,14.79382159033307,131.98296054845943,119.4051966989396
2030,8.295555555555561,9.617088888888883,0.745,7.752919576844569,38.633723743809874,15.637178454402424,26.86318787456918,9.455041170156887,11.818801462696106,2.7321868501730533,4.414607191603981,14.793823272397963,130.22158014295235,118.48372549466035
2031,7.258611111111116,8.414952777777772,0.7445,7.563819979357499,38.633723743809874,15.622697508007425,26.86318787456918,9.455041170156887,11.818801462696106,2.7321868501730533,4.414609317649413,14.793825097990222,128.0191123174067,117.6424413781598
2032,6.221666666666671,7.212816666666662,0.7445,7.403586118333518,38.633723743809874,15.598898387410426,26.86318787456918,9.455041170156887,11.818801462696106,2.7321868501730533,4.414610222622209,14.793825669157016,126.33891547909238,116.39140674172428
2033,5.184722222222227,6.01068055555555,0.7445,7.187490551692376,38.617215464919575,15.46403670402742,26.86318787456918,9.455041170156887,11.818801462696106,2.7321868501730533,4.414611261869963,14.793826427563545,125.57428204764172,122.13537866103412
2034,4.147777777777783,4.808544444444439,0.6245,6.565670112120903,36.88013150388457,12.309142542869864,26.86318787456918,9.532099034997538,11.91512379374692,2.7321868490593393,4.394612919652811,14.778827735152136,124.69989495001424,129.39364286127946
2035,3.1108333333333387,3.606408333333328,0.5375,5.772504891812533,46.42681492108458,12.236737810894864,43.25663049752001,9.86343589944703,12.329294874308784,2.7321868490593393,4.374614779737376,14.753829986619698,123.65466286940374,136.82104984852805
2036,2.073888888888894,2.4042722222222173,0.5375,4.801891714780537,45.437199636577574,11.800294678676863,43.25663049752001,11.59267941706192,14.490849271327399,2.7321868490593393,4.316625500156163,14.703553686392938,130.1732767483377,137.67610747586593
2037,1.0369444444444498,1.2013916666666618,0.5327000000000001,4.091419747943907,44.82648146252757,11.407294385643864,43.25663049752001,15.337797880339323,19.17224735042415,2.7321868490593393,4.276629855980939,14.663574557114249,140.3968682186935,148.93334492110318
2038,0.0,0.0,0.5327000000000001,3.6789920131530365,44.28250156316757,11.159103556560863,43.25663049752001,19.311306278323915,24.139132847904893,2.6830868455263266,4.156634270416526,14.56888340668698,154.26741490310798,159.20834294854518
2039,0.0,0.0,0.5327000000000001,3.14274158154041,44.09122714948057,11.130393506316862,43.25663049752001,19.986284150170917,24.982855187713646,2.6830868455263266,3.9080583633562243,14.324631936930944,159.39603199353058,161.91837564959133
2040,0.0,0.0,0.5327000000000001,2.3820204399068223,42.234895742914574,10.900335340545862,43.25663049752001,21.2115149088742,26.514393636092745,2.6830868455263266,2.956166635580894,13.916326561504526,165.7294596501721,165.03833894262348
2041,0.0,0.0,0.5327000000000001,1.7343423562884508,42.00093401768058,19.94954909786049,43.25663049752001,21.619331088621365,27.02416386077671,2.6830868455263266,2.9561702510590515,13.916377785166471,178.60491002124016,178.0018982102605
2042,0.0,0.0,0.5327000000000001,1.4358576446935312,41.982297669276576,20.958662024830787,43.25663049752001,21.192832313177682,26.491040391472094,2.683086840778146,2.7895232604030493,13.916434908808071,180.67254090455407,182.40771110674993
2043,0.0,0.0,0.5327000000000001,1.1687401791993568,41.96718711651657,22.659915273129602,43.25663049752001,21.337813677153065,26.67226709644133,2.683086840778146,2.7895261250626033,13.916484551830443,182.14646631405438,189.83775849624172
2044,0.0,0.0,0.41829999999999995,1.1687400257179956,41.14630633782958,23.512929097977125,43.25663049752001,21.431183027453432,26.788978784316793,2.6830868399980736,2.789531679210724,17.861592973218528,190.79123176921647,206.6222231603375
2045,0.0,0.0,0.41829999999999995,1.168740263363137,39.895782175666575,23.471878762979124,43.25663049752001,21.372924549383868,26.716155686729827,2.6830868399980736,8.036353100861945,22.56829139543002,224.79123054764736,240.6222246145139
2046,0.0,0.0,0.41829999999999995,1.1687403737831814,39.895782175666575,22.532506066399126,43.25663049752001,20.90082910851731,26.126036385646632,2.6830868399980736,8.036353147729736,21.48194426836022,257.704849649043,273.53584723586613
2047,0.0,0.0,0.41829999999999995,1.168740464835088,39.37069046725657,22.386437389719127,43.25663049752001,21.074082994551564,26.34260374318945,2.6830868399980736,8.036353187108762,28.568291330035102,289.16055280204705,304.4387878609886
2048,0.0,0.0,0.3583,1.16874046606665,38.29884859148057,22.37069723059413,43.25663049752001,21.411528382972413,26.764410478715508,2.6830868399980736,8.036352747030497,28.568290600994697,309.8472576757282,294.8999227317096
2049,0.0,0.0,0.3583,1.168740466069052,37.89841894334057,22.37069723059413,43.25663049752001,21.62969453546842,27.03711816933552,2.6830868399980736,8.036350011743666,28.568289726747164,314.8031755831931,292.50586071214474
2050,0.0,0.0,0.3583,1.168740466069052,34.95186115514057,22.226546505369825,43.25663049752001,21.714863159396526,27.143578949245654,2.6830868399980736,8.03634963867503,28.568289207899454,320.44244484121214,289.8683010377616
