technology,parameter,2015,2020,2025,2030,2035,2040,2045,2050,unit,source
A-CAES,FOM,1.51,1.51,1.53,1.51,1.52,1.51,1.52,1.52,%/year,  
A-CAES,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",  
A-CAES,investment,35,35,32.6,31.1,30.3,29.8,27.7,26.3,"EUR/kWh,el",  
A-CAES,lifetime,40,55,55,55,55,55,55,55,years,  
A-CAES interface,FOM,0,0,0,0,0,0,0,0,%/year,  
A-CAES interface,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",  
A-CAES interface,investment,600,600,558,530,518,510,474,450,"EUR/kW,el",  
A-CAES interface,lifetime,40,55,55,55,55,55,55,55,years,  
Battery PV prosumer - commercial interface,FOM,0,0,0,0,0,0,0,0,%/year,  
Battery PV prosumer - commercial interface,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",  
Battery PV prosumer - commercial interface,investment,256,173,117,87,70,60,51,46,"EUR/kW,el",  
Battery PV prosumer - commercial interface,lifetime,15,20,20,20,20,20,20,20,years,  
Battery PV prosumer - commercial storage,FOM,6,3.32,2.77,2.82,2.77,2.75,2.75,2.75,%/year,  
Battery PV prosumer - commercial storage,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",  
Battery PV prosumer - commercial storage,investment,513,346,235,174,141,120,102,91,"EUR/kWh,el",  
Battery PV prosumer - commercial storage,lifetime,15,20,20,20,20,20,20,20,years,  
Battery PV prosumer - industrial interface PHES,investment,218,147,99,73,59,50,42,38,"EUR/kW,el",  
Battery PV prosumer - industrial storage,FOM,6,3.33,2.73,2.81,2.8,2.7,2.71,2.63,%/year,  
Battery PV prosumer - industrial storage,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",  
Battery PV prosumer - industrial storage,investment,435,294,198,146,118,100,85,76,"EUR/kWh,el",  
Battery PV prosumer - industrial storage,lifetime,15,20,20,20,20,20,20,20,years,  
Battery PV prosumer - residential interface,FOM,0,0,0,0,0,0,0,0,%/year,  
Battery PV prosumer - residential interface,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",  
Battery PV prosumer - residential interface,investment,302,204,140,104,85,73,62,56,"EUR/kW,el",  
Battery PV prosumer - residential interface,lifetime,15,20,20,20,20,20,20,20,years,  
Battery PV prosumer - residential storage,FOM,6,3.34,2.75,2.78,2.76,2.74,2.74,2.7,%/year,  
Battery PV prosumer - residential storage,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",  
Battery PV prosumer - residential storage,investment,603,407,280,209,170,146,124,111,"EUR/kWh,el",Unnamed: 0 Unnamed: 1 Unnamed: 2
Battery PV prosumer - residential storage,lifetime,15,20,20,20,20,20,20,20,years,  
Battery interface,FOM,0,0,0,0,0,0,0,0,%/year, 
Battery interface,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)", 
Battery interface,investment,200,135,91,67,54,46,39,35,"EUR/kW,el", 
Battery interface,lifetime,15,20,20,20,20,20,20,20,years, 
Battery storage,FOM,6,3.33,2.75,2.8,2.78,2.72,2.72,2.68,%/year,[ ]
Battery storage,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)", 
Battery storage,investment,400,270,182,134,108,92,78,70,"EUR/kWh,el", 
Battery storage,lifetime,15,20,20,20,20,20,20,20,years, 
Biogas digester,FOM,3.99,3.99,3.99,4,4,4,3.99,4.01,%/year,
Biogas digester,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",
Biogas digester,investment,771,731,706,680,653,632,609,589,"EUR/kW,th",
Biogas digester,lifetime,20,20,20,20,25,25,25,25,years,
Biogas upgrade,FOM,8,8,8,8,8,8,8,8,%/year,
Biogas upgrade,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",[ ]
Biogas upgrade,investment,340,290,270,250,230,220,210,200,"EUR/kW,th",
Biogas upgrade,lifetime,20,20,20,20,25,25,25,25,years,
CCGT,FOM,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,%/year,[ ]
CCGT,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
CCGT,investment,775,775,775,775,775,775,775,775,EUR/(kWel),
CCGT,lifetime,35,35,35,35,35,35,35,35,years,
CHP Biogas,FOM,4,4.01,4,4,4,3.99,3.99,3.99,%/year,
CHP Biogas,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
CHP Biogas,investment,503,429,400,370,340,326,311,296,"EUR/kW,el",
CHP Biogas,lifetime,30,30,30,30,30,30,30,30,years,
CHP Biomass Heating,FOM,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,%/year,
CHP Biomass Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
CHP Biomass Heating,investment,3560,3300,3145,2990,2870,2750,2645,2540,"EUR/kW,el",
CHP Biomass Heating,lifetime,25,25,25,25,25,25,25,25,years,
CHP Coal Heating,FOM,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,%/year,
CHP Coal Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
CHP Coal Heating,investment,2030,2030,2030,2030,2030,2030,2030,2030,"EUR/kW,el",
CHP Coal Heating,lifetime,40,40,40,40,40,40,40,40,years,
CHP NG Heating,FOM,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,%/year,
CHP NG Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
CHP NG Heating,investment,880,880,880,880,880,880,880,880,"EUR/kW,el",
CHP NG Heating,lifetime,30,30,30,30,30,30,30,30,years,
CHP Oil Heating,FOM,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,%/year,
CHP Oil Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
CHP Oil Heating,investment,880,880,880,880,880,880,880,880,"EUR/kW,el",
CHP Oil Heating,lifetime,30,30,30,30,30,30,30,30,years,
CO2 Storage,FOM,7,7,7,7,7,7,7,7,%/year,[
CO2 Storage,VOM,0,0,0,0,0,0,0,0, EUR/ton,
CO2 Storage,investment,142,142,142,142,142,142,142,142, EUR/ton,
CO2 Storage,lifetime,30,30,30,30,30,30,30,30,None,
CO2 direct air capture,FOM,4,4,4,4,4.01,4.02,3.99,4,%/year, 
CO2 direct air capture,VOM,0,0,0,0,0,0,0,0,EUR/tCO2, 
CO2 direct air capture,investment,1000,730,493,335,274.4,234,210.6,195,EUR/tCO2 a, 
CO2 direct air capture,lifetime,20,20,30,25,30,30,30,30,years, 
"CSP (solar field, parabolic trough)",FOM,2.3,2.29,2.31,2.29,2.31,2.3,2.31,2.3,%/year,"[72,1"
"CSP (solar field, parabolic trough)",VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",31]
"CSP (solar field, parabolic trough)",investment,438.3,344.5,303.6,274.7,251.1,230.2,211.9,196,"EUR/kW,th",
"CSP (solar field, parabolic trough)",lifetime,25,25,25,25,25,25,25,25,years,
Coal PP,FOM,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,%/year,[
Coal PP,VOM,0,0,0,0,0,0,0,0,EUR/(kWh),]
Coal PP,investment,1500,1500,1500,1500,1500,1500,1500,1500,"EUR/(kW,el)",
Coal PP,lifetime,40,40,40,40,40,40,40,40,years,
DH Biomass Heating,FOM,3.73,3.73,3.73,3.7,3.7,3.7,3.7,3.7,%/year,Unnamed: 0 Unnamed: 1
DH Biomass Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)", 
DH Biomass Heating,investment,75,75,75,100,100,100,100,100,"EUR/kW,th",
DH Biomass Heating,lifetime,35,35,35,35,35,35,35,35,years, 
DH Coal Heating,FOM,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,%/year,
DH Coal Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",
DH Coal Heating,investment,75,75,75,100,100,100,100,100,"EUR/kW,th",
DH Coal Heating,lifetime,35,35,35,35,35,35,35,35,years,
DH Geothermal heat,FOM,3.66,3.65,3.66,3.66,3.65,3.64,3.65,3.66,%/year, 
DH Geothermal heat,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)", 
DH Geothermal heat,investment,3936,3642,3384,3200,3180,3160,3150,3146,"EUR/kW,th", 
DH Geothermal heat,lifetime,22,22,22,22,22,22,22,22,years, 
DH Heat Pump,FOM,0.29,0.3,0.32,0.34,0.35,0.36,0.37,0.38,%/year,
DH Heat Pump,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",
DH Heat Pump,investment,700,660,618,590,568,554,540,530,"EUR/kW,th",
DH Heat Pump,lifetime,25,25,25,25,25,25,25,25,years,
DH Natural gas Heating,FOM,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,%/year,
DH Natural gas Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",
DH Natural gas Heating,investment,75,75,75,100,100,100,100,100,"EUR/kW,th",
DH Natural gas Heating,lifetime,35,35,35,35,35,35,35,35,years,
DH Oil Heating,FOM,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,%/year,
DH Oil Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",
DH Oil Heating,investment,75,75,75,100,100,100,100,100,"EUR/kW,th",
DH Oil Heating,lifetime,35,35,35,35,35,35,35,35,years,
DH Rod Heating,FOM,1.47,1.47,1.47,1.96,1.96,1.96,1.96,1.96,%/year,
DH Rod Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",
DH Rod Heating,investment,100,100,100,75,75,75,75,75,"EUR/kW,th",
DH Rod Heating,lifetime,35,35,35,35,35,35,35,35,years,
District Heat Storage,FOM,1.6,1.5,1.67,1.67,1.6,1.5,1.5,1.5,%/year,  
District Heat Storage,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",  
District Heat Storage,investment,50,40,30,30,25,20,20,20,"EUR/kWh,th",  
District Heat Storage,lifetime,25,25,25,25,30,30,30,30,years,  
Fischer- Tropsch unit,FOM,3,3,3,3,3,3,3,3,%/year, 
Fischer- Tropsch unit,VOM,0,0,0,0,0,0,0,0,"EUR/kW,FTLi", 
Fischer- Tropsch unit,investment,947,947,947,947,947,852.3,852.3,852.3,"EUR/kW,FTLi", 
Fischer- Tropsch unit,lifetime,30,30,30,30,30,30,30,30,years, 
Gas  Storage interface,FOM,120.16,120.16,120.16,120.16,120.16,120.16,120.16,120.16,%/year,  
Gas  Storage interface,VOM,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,"EUR/(kWh,th)",  
Gas  Storage interface,investment,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,"EUR/kW,th",  
Gas  Storage interface,lifetime,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,years,  
Gas Storage,FOM,2,2,2,2,2,2,2,2,%/year,  
Gas Storage,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",  
Gas Storage,investment,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,"EUR/kWh,el",  
Gas Storage,lifetime,50,50,50,50,50,50,50,50,years,  
Geothermal power,FOM,1.52,1.61,1.69,1.79,1.88,1.99,2.1,2.22,%/year,
Geothermal power,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",]
Geothermal power,investment,5250,4970,4720,4470,4245,4020,3815,3610,"EUR/kW,el",
Geothermal power,lifetime,40,40,40,40,40,40,40,40,years,
Hot Heat Storage,FOM,1.5,1.51,1.5,1.49,1.5,1.52,1.5,1.49,%/year,  
Hot Heat Storage,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",  
Hot Heat Storage,investment,50.8,41.8,32.7,26.8,23.3,21,19.3,17.5,"EUR/kWh,th",  
Hot Heat Storage,lifetime,25,25,25,25,30,30,30,30,years,  
Hydro Reservoir/ Dam,FOM,3,3,3,3,3,3,3,3,%/year,[ 123]
Hydro Reservoir/ Dam,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
Hydro Reservoir/ Dam,investment,1650,1650,1650,1650,1650,1650,1650,1650,"EUR/kW,el",
Hydro Reservoir/ Dam,lifetime,50,50,50,50,50,50,50,50,years,
Hydro Run-of- River,FOM,3,3,3,3,3,3,3,3,%/year,[ 123]
Hydro Run-of- River,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
Hydro Run-of- River,investment,2560,2560,2560,2560,2560,2560,2560,2560,"EUR/kW,el",
Hydro Run-of- River,lifetime,50,50,50,50,50,50,50,50,years,
Hydrogen Storage,FOM,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,%/year,[ 135  ]
Hydrogen Storage,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",  
Hydrogen Storage,investment,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,"EUR/kWh,th",  
Hydrogen Storage,lifetime,15,15,15,15,15,15,15,15,years,  
Hydrogen Storage interface,FOM,4,4,4,4,4,4,4,4,%/year,[135]
Hydrogen Storage interface,VOM,0,0,0,0,0,0,0,0," EUR/(kWh,th)",
Hydrogen Storage interface,investment,255.9,255.9,255.9,255.9,255.9,255.9,255.9,255.9,"EUR/kW,th",  
Hydrogen Storage interface,lifetime,15,15,15,15,15,15,15,15,None,
Local Biogas Heating,FOM,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,%/year, 
Local Biogas Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)", 
Local Biogas Heating,investment,800,800,800,800,800,800,800,800,"EUR/kW,th", 
Local Biogas Heating,lifetime,22,22,22,22,22,22,22,22,years, 
Local Biomass Heating,FOM,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,%/year, 
Local Biomass Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)", 
Local Biomass Heating,investment,675,675,675,750,750,750,750,675,"EUR/kW,th", 
Local Biomass Heating,lifetime,20,20,20,20,20,20,20,20,years, 
Local Coal Heating,FOM,2,2,2,2,2,2,2,2,%/year, 
Local Coal Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)", 
Local Coal Heating,investment,500,500,500,500,500,500,500,500,"EUR/kW,th", 
Local Coal Heating,lifetime,15,15,15,15,15,15,15,15,years, 
Local Heat Pump,FOM,2,2,2,1,1.01,1,1.01,1,%/year, 
Local Heat Pump,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)", 
Local Heat Pump,investment,800,780,750,730,706,690,666,650,"EUR/kW,th", 
Local Heat Pump,lifetime,20,20,20,20,20,20,20,20,years, 
Local Natural gas heating,FOM,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,%/year, 
Local Natural gas heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)", 
Local Natural gas heating,investment,800,800,800,800,800,800,800,800,"EUR/kW,th", 
Local Natural gas heating,lifetime,22,22,22,22,22,22,22,22,years, 
Local Oil Heating,FOM,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,%/year, 
Local Oil Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)", 
Local Oil Heating,investment,440,440,440,440,440,440,440,440,"EUR/kW,th", 
Local Oil Heating,lifetime,20,20,20,20,20,20,20,20,years, 
Local Rod Heating,FOM,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,%/year, 
Local Rod Heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)", 
Local Rod Heating,investment,800,800,800,800,800,800,800,800,"EUR/kW,th", 
Local Rod Heating,lifetime,30,30,30,30,30,30,30,30,years, 
Methanation,FOM,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,%/year,[ 
Methanation,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,CH", 
Methanation,investment,547,502,368,278,247,226,204,190,"EUR/kW,CH4", 
Methanation,lifetime,30,30,30,30,30,30,30,30,years, 
Multi Effect Distillation Cogeneration,Consumption,169.5,169.5,169.5,169.5,169.5,169.5,169.5,169.5, kWh /m3th,
Multi Effect Distillation Cogeneration,FOM,2.87,2.87,2.87,2.87,2.87,2.87,2.87,3.2,%/year,
Multi Effect Distillation Cogeneration,investment,2150,2150,2150,2150,2150,2150,2150,2150, EUR/(m3/day),
Multi Effect Distillation Cogeneration,lifetime,25,25,25,25,25,25,25,25,None,
Multi Effect Distillation Standalone,Consumption,69.5,52.5,45.5,39.5,33.5,29.5,29.5,29.5, kWh th/m  3,
Multi Effect Distillation Standalone,FOM,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,%/year,[ 137
Multi Effect Distillation Standalone,investment,1438,1200,1044,906.3,787.5,687.5,600,518.8, EUR/(m3/day),
Multi Effect Distillation Standalone,lifetime,25,25,25,25,25,25,25,25,None,
Multi Stage Flash Cogeneration,Consumption,205,205,205,205,205,205,205,205, kWh th/m  3,
Multi Stage Flash Cogeneration,FOM,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,%/year,
Multi Stage Flash Cogeneration,investment,3069,3069,3069,3069,3069,3069,3069,3069, EUR/(m3/day),
Multi Stage Flash Cogeneration,lifetime,25,25,25,25,25,25,25,25,None,
Multi Stage Flash Standalone,Consumption,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5, kWhth/m3,
Multi Stage Flash Standalone,FOM,5,5,5,5,5,5,5,5,%/year,[ 137
Multi Stage Flash Standalone,investment,2000,2000,2000,2000,2000,2000,2000,2000, EUR/(m3/day),
Multi Stage Flash Standalone,lifetime,25,25,25,25,25,25,25,25,None,
Nuclear PP,FOM,2.61,2.62,2.62,2.42,2.42,2.21,2.21,2.11,%/year,
Nuclear PP,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
Nuclear PP,investment,6210,6003,6003,5658,5658,5244,5244,5175,EUR/(kWel),
Nuclear PP,lifetime,40,40,40,40,40,40,40,40,years,]
OCGT,FOM,3,3,3,3,3,3,3,3,%/year,[ ]
OCGT,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
OCGT,investment,475,475,475,475,475,475,475,475,EUR/(kWel),
OCGT,lifetime,35,35,35,35,35,35,35,35,years,
PHES interface,FOM,0,0,0,0,0,0,0,0,%/year,  
PHES interface,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",  
PHES interface,investment,650,650,650,650,650,650,650,650,"EUR/kW,el",  
PHES interface,lifetime,50,50,50,50,50,50,50,50,years,  
PV optimally tilted,FOM,1.5,2.28,2.53,2.72,2.85,2.93,2.96,3.01,%/year,[ 120]
PV optimally tilted,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
PV optimally tilted,investment,1000,580,466,390,337,300,270,246,"EUR/kW,el",
PV optimally tilted,lifetime,30,30,35,35,35,40,40,40,years,
PV rooftop - commercial,FOM,1.47,1.94,2.13,2.28,2.36,2.42,2.45,2.47,%/year,
PV rooftop - commercial,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",]
PV rooftop - commercial,investment,1360,907,737,623,542,484,437,397,"EUR/kW,el",
PV rooftop - commercial,lifetime,30,30,35,35,35,40,40,40,years,
PV rooftop - industrial,FOM,1.47,2.58,2.86,3.09,3.22,3.31,3.36,3.39,%/year,[ 120]
PV rooftop - industrial,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
PV rooftop - industrial,investment,1360,682,548,459,397,353,318,289,"EUR/kW,el",
PV rooftop - industrial,lifetime,30,30,35,35,35,40,40,40,years,
PV rooftop - residential,FOM,1.47,1.51,1.63,1.72,1.77,1.8,1.82,1.82,%/year,[ 120]
PV rooftop - residential,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
PV rooftop - residential,investment,1360,1169,966,826,725,650,589,537,"EUR/kW,el",
PV rooftop - residential,lifetime,30,30,35,35,35,40,40,40,years,
PV single-axis tracking,FOM,1.5,2.35,2.53,2.8,2.96,3.03,3.03,2.95,%/year,"[120,"
PV single-axis tracking,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",]
PV single-axis tracking,investment,1150,638,513,429,371,330,297,271,"EUR/kW,el",
PV single-axis tracking,lifetime,30,30,35,35,35,40,40,40,years,
Residential Solar Heat Collectors - hot water,FOM,1,1,1,1,1,1,1,1,%/year,
Residential Solar Heat Collectors - hot water,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",
Residential Solar Heat Collectors - hot water,investment,485,485,485,485,485,485,485,485,"EUR/kW,th",
Residential Solar Heat Collectors - hot water,lifetime,15,15,15,15,15,15,15,15,years,
Residential Solar Heat Collectors - space heating,FOM,1.15,1.22,1.26,1.29,1.38,1.48,1.59,1.73,%/year,
Residential Solar Heat Collectors - space heating,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,th)",
Residential Solar Heat Collectors - space heating,investment,1286,1214,1179,1143,1071,1000,929,857,"EUR/kW,th",
Residential Solar Heat Collectors - space heating,lifetime,20,25,25,30,30,30,30,30,years,
Reverse Osmosis Seawater Desalination,Consumption,4.1,3.6,3.35,3.15,3,2.85,2.7,2.6, kWh /m3th,
Reverse Osmosis Seawater Desalination,FOM,4,4,4,4,4,4,4,4,%/year,
Reverse Osmosis Seawater Desalination,investment,1150,960,835,725,630,550,480,415, EUR/(m3/day),
Reverse Osmosis Seawater Desalination,lifetime,25,25,30,30,30,30,30,30,None,
Steam turbine (CSP),FOM,2,2,2,2,2,2,2,2,%/year,
Steam turbine (CSP),VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
Steam turbine (CSP),investment,760,740,720,700,670,640,615,600,EUR/(kWel),Unnamed: 0
Steam turbine (CSP),lifetime,25,25,25,25,30,30,30,30,years,
Waste incinerator,FOM,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,%/year,
Waste incinerator,VOM,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,"EUR/(kWh,el)",
Waste incinerator,investment,5940,5630,5440,5240,5030,4870,4690,4540,"EUR/kW,el",
Waste incinerator,lifetime,30,30,30,30,30,30,30,30,years,
Water Storage,FOM,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,%/year,[
Water Storage,VOM,0,0,0,0,0,0,0,0, EUR/m3,
Water Storage,investment,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59, EUR/m3,
Water Storage,lifetime,50,50,50,50,50,50,50,50,None,
Water electrolysis,FOM,4,3.94,4,3.5,3.51,3.51,3.52,3.51,%/year,"[132,1 "
Water electrolysis,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,H2", 
Water electrolysis,investment,800,685,500,363,325,296,267,248,"EUR/kW,H2", 
Water electrolysis,lifetime,30,30,30,30,30,30,30,30,years, 
Wind offshore,FOM,3.5,3.2,3.1,3,2.9,2.8,2.5,2.3,%/year,
Wind offshore,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",
Wind offshore,investment,3220,2880,2700,2580,2460,2380,2320,2280,"EUR/kW,el",
Wind offshore,lifetime,20,25,25,25,25,25,25,25,years,
Wind onshore,FOM,2,2,1.98,2,1.97,2.02,1.97,2,%/year,
Wind onshore,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh, el)",[122]
Wind onshore,investment,1250,1150,1060,1000,965,940,915,900,"EUR/kW,el",
Wind onshore,lifetime,25,25,25,25,25,25,25,25,years,
prosumer - industrial interface PHES,FOM,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34,%/year,  
prosumer - industrial interface PHES,VOM,0,0,0,0,0,0,0,0,"EUR/(kWh,el)",  
prosumer - industrial interface PHES,investment,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,"EUR/kWh,el",  
prosumer - industrial interface PHES,lifetime,65,70,70,70,70,70,70,70,years,  
